rosbagTimestamp,latitude,longitude,label
1692000000,44.9990998072,-80.9994392039,1
1713000000,44.9990998013,-80.9994392113,1
1732000000,44.9990998069,-80.9994391769,1
1752000000,44.9990998048,-80.9994391593,1
1772000000,44.9990998053,-80.9994391561,1
1792000000,44.9990998052,-80.9994391651,1
1812000000,44.9990998052,-80.9994391859,1
1832000000,44.999099805,-80.9994392033,1
1851000000,44.9990998044,-80.99943919,1
1872000000,44.9990998047,-80.9994391869,1
1892000000,44.9990998041,-80.9994391825,1
1913000000,44.9990998041,-80.9994391771,1
1936000000,44.999099804,-80.9994391726,1
1952000000,44.9990998037,-80.9994391696,1
1972000000,44.9990998031,-80.999439165,1
1992000000,44.9990998025,-80.9994391609,1
2012000000,44.9990998027,-80.9994391566,1
2017000000,45.9262462953,-80.5179995784,-1
2032000000,44.9990998023,-80.9994391524,1
2052000000,44.9990998016,-80.9994391481,1
2072000000,44.9990998015,-80.9994391438,1
2092000000,44.9990998014,-80.9994391399,1
2112000000,44.9990998013,-80.9994391357,1
2134000000,44.9990998013,-80.9994391316,1
2152000000,44.9990998012,-80.999439128,1
2186000000,44.9990998012,-80.9994391242,1
2192000000,44.9990998012,-80.9994391206,1
2212000000,44.9990998011,-80.999439117,1
2232000000,44.9990998011,-80.9994391135,1
2252000000,44.999099801,-80.99943911,1
2274000000,44.999099801,-80.9994391064,1
2294000000,44.9990998009,-80.999439103,1
2312000000,44.9990998009,-80.9994391,1
2332000000,44.9990998009,-80.9994390967,1
2353000000,44.9990998008,-80.9994390931,1
2373000000,44.9990998008,-80.9994390899,1
2393000000,44.9990998007,-80.9994390867,1
2412000000,44.9990998007,-80.9994390836,1
2434000000,44.9990998007,-80.9994390803,1
2459000000,44.9990998007,-80.9994390764,1
2473000000,44.9990998006,-80.9994390742,1
2500000000,44.9990998005,-80.9994390699,1
2513000000,44.9990998005,-80.9994390679,1
2532000000,44.9990998005,-80.9994390649,1
2552000000,44.9990998005,-80.9994390617,1
2573000000,44.9990998004,-80.9994390586,1
2593000000,44.9990998004,-80.9994390555,1
2612000000,44.9990998004,-80.9994390525,1
2632000000,44.9990998003,-80.9994390495,1
2653000000,44.9990998003,-80.9994390463,1
2672000000,44.9990998002,-80.9994390434,1
2696000000,44.9990998002,-80.9994390402,1
2713000000,44.9990998001,-80.999439037,1
2733000000,44.9990998001,-80.999439034,1
2752000000,44.9990998001,-80.9994390311,1
2773000000,44.9990998,-80.9994390281,1
2793000000,44.9990998,-80.999439025,1
2816000000,44.9990997999,-80.9994390215,1
2832000000,44.9990997999,-80.999439019,1
2853000000,44.9990997999,-80.9994390159,1
2874000000,44.9990997998,-80.9994390126,1
2893000000,44.9990997998,-80.9994390099,1
2912000000,44.9990997998,-80.9994390068,1
2938000000,44.9990997997,-80.9994390031,1
2954000000,44.9990997997,-80.9994390008,1
2974000000,44.9990997996,-80.9994389976,1
2992000000,44.9990997996,-80.9994389948,1
3013000000,44.9990997996,-80.9994389917,1
3032000000,44.9990997995,-80.9994389889,1
3052000000,44.9990997995,-80.9994389857,1
3072000000,44.9990997994,-80.9994389827,1
3093000000,44.9990997994,-80.9994389797,1
3112000000,44.9990997993,-80.9994389768,1
3133000000,44.9990997993,-80.9994389735,1
3152000000,44.9990997992,-80.9994389707,1
3173000000,44.9990997992,-80.9994389674,1
3193000000,44.9990997992,-80.9994389646,1
3213000000,44.9990997992,-80.9994389616,1
3232000000,44.9990997991,-80.9994389585,1
3252000000,44.9990997991,-80.9994389555,1
3279000000,44.999099799,-80.9994389517,1
3292000000,44.999099799,-80.9994389496,1
3313000000,44.9990997989,-80.9994389465,1
3333000000,44.9990997989,-80.9994389435,1
3353000000,44.9990997988,-80.9994389403,1
3373000000,44.9990997988,-80.9994389373,1
3399000000,44.9990997987,-80.9994389333,1
3413000000,44.9990997987,-80.9994389314,1
3431000000,44.9990997987,-80.9994389282,1
3454000000,44.9990997986,-80.9994389252,1
3472000000,44.9990997986,-80.9994389223,1
3492000000,44.9990997986,-80.9994389193,1
3513000000,44.9990997985,-80.9994389163,1
3533000000,44.9990997985,-80.9994389133,1
3552000000,44.9990997984,-80.9994389103,1
3573000000,44.9990997984,-80.9994389073,1
3592000000,44.9990997983,-80.9994389044,1
3613000000,44.9990997983,-80.9994389011,1
3633000000,44.9990997983,-80.9994388982,1
3653000000,44.9990997982,-80.9994388952,1
3676000000,44.9990997982,-80.9994388919,1
3694000000,44.9990997981,-80.999438889,1
3713000000,44.9990997981,-80.9994388862,1
3732000000,44.9990997981,-80.9994388831,1
3753000000,44.999099798,-80.9994388801,1
3775000000,44.999099798,-80.9994388768,1
3792000000,44.9990997979,-80.9994388742,1
3812000000,44.9990997979,-80.9994388712,1
3833000000,44.9990997978,-80.9994388681,1
3853000000,44.9990997978,-80.9994388651,1
3873000000,44.9990997977,-80.9994388619,1
3892000000,44.9990997977,-80.9994388592,1
3913000000,44.9990997977,-80.999438856,1
3933000000,44.9990997976,-80.999438853,1
3952000000,44.9990997975,-80.9994388501,1
3972000000,44.9990997975,-80.9994388471,1
3992000000,44.9990997975,-80.9994388439,1
4001000000,45.1183709697,-81.8301822532,-1
4012000000,44.9990997974,-80.9994388409,1
4033000000,44.9990997974,-80.9994388379,1
4052000000,44.9990997974,-80.9994388349,1
4072000000,44.9990997973,-80.999438832,1
4093000000,44.9990997973,-80.9994388289,1
4112000000,44.9990997972,-80.999438826,1
4136000000,44.9990997971,-80.9994388224,1
4152000000,44.9990997971,-80.99943882,1
4173000000,44.9990997971,-80.9994388168,1
4193000000,44.999099797,-80.9994388138,1
4212000000,44.999099797,-80.9994388108,1
4232000000,44.999099797,-80.9994388078,1
